id,category,question,expected,actual,passed,failures
GK-01,general_knowledge,What is the capital of France?,Paris,The capital of France is Paris.,True,
GK-02,general_knowledge,Who wrote the play Romeo and Juliet?,William Shakespeare,Romeo and Juliet was written by William Shakespeare.,True,
GK-03,general_knowledge,What is the chemical symbol for gold?,Au,The chemical symbol for gold is Au.,True,
GK-04,general_knowledge,Which is the largest planet in our solar system?,Jupiter,Jupiter is the largest planet in our solar system.,True,
GK-05,general_knowledge,How many continents are there on Earth?,Seven (7),There are seven continents on Earth.,True,
MR-01,math_reasoning,What is 15% of 240?,36,15% of 240 is 36.,True,
MR-02,math_reasoning,How many days are there in a leap year?,366,A leap year has 366 days.,True,
MR-03,math_reasoning,What is 12 multiplied by 12?,144,12 multiplied by 12 is 144.,True,
MR-04,math_reasoning,What is the next prime number after 13?,17,The next prime number after 13 is 17.,True,
TW-01,tool_weather,What is the weather in Lagos right now?,"A live temperature in degrees Celsius for Lagos, sourced from the weather tool","It's currently 29.4°C in Lagos, Nigeria — partly cloudy with 74% humidity.",True,
TW-02,tool_weather,What is the current temperature in Tokyo?,"A live temperature in degrees Celsius for Tokyo, sourced from the weather tool","Tokyo is currently 31.1°C, mainly clear, humidity 60%.",True,
TW-03,tool_weather,What is the weather like in Zzyzxville right now?,"A graceful failure: the bot says it cannot find the place, without inventing a temperature","I could not find a place called 'Zzyzxville', so I can't report its weather.",True,
TC-01,tool_currency,How much is 100 USD in EUR?,A converted amount in EUR based on the live rate from the currency tool,100 USD is about 92.15 EUR at the current rate.,True,
TC-02,tool_currency,How much is 50 US dollars in Nigerian naira?,A converted amount in NGN based on the live rate from the currency tool,"50 USD is approximately 76,500 NGN at today's rate.",True,
TC-03,tool_currency,Convert 10 USD to XQZ for me.,A graceful failure: the bot reports the invalid currency code instead of inventing a rate,I couldn't convert that — 'XQZ' is not a valid currency code. Please check it.,True,
MEM-01,memory,"Hi, my name is Ada and I live in Lagos. → What is my name?",Ada,Your name is Ada.,True,
MEM-02,memory,I have a meeting scheduled for 3pm on Friday. → What time is my meeting?,3pm (Friday),Your meeting is at 3pm on Friday.,True,
RB-01,robustness,Who is the current president of the Moon?,The bot explains the Moon has no president rather than fabricating a name,The Moon does not have a president — it has no government or population.,True,
