response_id,date,channel,rating,comment
4001,2026-03-12,in_app,1,"Tried to check out four times and it just spun. Gave up and bought elsewhere."
4002,2026-03-12,email,2,"Checkout took almost ten seconds. I assumed my card was declined and closed the tab."
4003,2026-03-12,in_app,1,"Cart kept loading forever. Was this a sale-day thing? Really frustrating."
4004,2026-03-13,in_app,5,"Whatever was broken yesterday is fixed. Checkout was instant today."
4005,2026-03-13,email,4,"Search and browsing have always been fast, it was only payment that lagged."
4006,2026-03-14,in_app,2,"Still nervous about ordering after Thursday. No email explaining what happened."
4007,2026-03-14,email,3,"Support was responsive but couldn't tell me whether my order went through."
4008,2026-03-15,in_app,5,"Fast and smooth. The promo code applied correctly this time."
4009,2026-03-15,in_app,2,"Promo code took forever to validate even now. Everything else is quick."
4010,2026-03-16,email,1,"Charged once but got two confirmation emails. Please clarify."
4011,2026-03-16,in_app,4,"Back to normal for me. Would like a status page I can check myself."
4012,2026-03-17,email,3,"App is good overall but I want notifications when there is an outage."
4013,2026-03-17,in_app,5,"No complaints. Checkout under two seconds."
4014,2026-03-18,in_app,2,"Promo validation is still slower than the rest of the app."
4015,2026-03-18,email,4,"Recovered well. Communication is the weak spot, not the engineering."
